tanggal,lintang,bujur,kedalaman,magnitudo,class
2024-01-02 09:30:33,0.89,127.78185,11.7,2.47,Lemah
2024-01-02 09:46:17,-9.83,119.53426,15.5,2.73,Lemah
2024-01-02 10:15:58,-8.92,119.31368,112.8,3.15,Lemah
2024-01-02 10:48:59,-2.51,139.50871,23.1,2.75,Lemah
2024-01-02 11:34:33,-0.15,120.38082,73.8,2.4,Lemah
2024-01-02 12:59:41,-7.8,118.87755,28.1,2.6,Lemah
2024-01-02 13:38:17,-1.79,128.93755,67.8,3.04,Lemah
2024-01-02 14:32:18,-9.64,119.13728,43.5,2.46,Lemah
2024-01-02 14:37:31,-10.06,123.95543,78.8,2.77,Lemah
2024-01-02 14:38:01,-1.56,134.26343,10.0,2.76,Lemah
2024-01-02 16:08:39,-6.16,129.62527,10.0,3.78,Lemah
2024-01-02 16:42:28,-1.32,120.14034,10.0,3.46,Lemah
2024-01-02 16:52:17,-1.87,122.54045,10.0,2.95,Lemah
2024-01-02 16:57:35,-2.49,102.22713,10.0,2.94,Lemah
2024-01-02 17:12:36,-9.67,118.10441,26.3,2.81,Lemah
2024-01-02 17:19:11,-1.24,120.2449,11.5,1.93,Lemah
2024-01-02 18:38:03,-7.51,106.55038,33.6,2.89,Lemah
2024-01-02 18:42:09,-6.79,107.93488,10.0,2.39,Lemah
2024-01-02 19:09:00,-9.6,120.04117,57.2,2.51,Lemah
2024-01-02 19:28:32,-2.91,119.40321,10.0,2.03,Lemah
2024-01-02 19:30:26,-2.91,119.4092,10.0,2.38,Lemah
2024-01-02 19:33:21,-2.94,119.40816,10.0,2.55,Lemah
2024-01-02 19:46:53,0.1,122.82593,110.3,2.99,Lemah
2024-01-02 19:49:01,-6.72,106.59717,15.3,2.19,Lemah
2024-01-02 19:56:09,-2.98,119.43707,10.0,3.03,Lemah
2024-01-02 21:06:56,-9.88,123.909,10.0,3.13,Lemah
2024-01-02 21:29:48,-2.97,119.43888,10.0,2.51,Lemah
2024-01-02 21:40:42,-2.8,139.97928,23.7,3.33,Lemah
2024-01-02 22:41:55,4.77,96.1843,10.0,3.42,Lemah
2024-01-02 23:05:01,0.01,99.38622,11.6,3.13,Lemah
2024-01-03 00:09:36,-2.69,129.73412,25.5,2.72,Lemah
2024-01-03 00:50:02,-2.6,133.65331,10.9,3.79,Lemah
2024-01-03 02:47:15,2.08,122.07007,10.0,4.3,Sedang
2024-01-03 05:15:12,-7.56,120.14218,392.6,4.45,Sedang
2024-01-03 06:10:54,-9.05,116.86212,128.9,3.3,Lemah
2024-01-03 06:55:40,1.64,99.41402,155.5,3.42,Lemah
2024-01-03 07:03:20,-2.46,140.36234,17.5,3.48,Lemah
2024-01-03 07:50:59,-3.11,139.63022,65.1,3.36,Lemah
2024-01-03 09:44:48,-2.83,139.48366,31.8,3.49,Lemah
2024-01-03 10:20:57,0.38,120.53562,69.9,2.83,Lemah
2024-01-03 11:55:00,-3.81,136.31152,10.0,3.92,Lemah
2024-01-03 12:29:36,-1.52,129.44008,10.0,2.86,Lemah
2024-01-03 12:56:49,-2.69,128.74979,10.0,2.12,Lemah
2024-01-03 12:59:19,5.5,125.10626,27.5,4.4,Sedang
2024-01-03 14:06:31,-3.57,134.88226,10.0,3.19,Lemah
2024-01-03 14:06:49,1.91,122.01688,10.0,2.72,Lemah
2024-01-03 14:29:00,-0.79,100.02462,68.0,3.26,Lemah
2024-01-03 15:08:49,2.49,126.88764,10.0,3.54,Lemah
2024-01-03 15:32:28,-2.97,127.53235,10.0,3.52,Lemah
2024-01-03 15:42:07,-7.93,107.11624,17.5,3.45,Lemah
2024-01-03 17:44:31,-1.93,127.71518,23.6,3.65,Lemah
2024-01-03 17:58:23,-0.27,125.31741,10.0,3.71,Lemah
2024-01-03 19:22:03,-1.93,127.78148,38.7,4.06,Sedang
2024-01-03 19:27:59,-3.41,140.28345,28.2,3.82,Lemah
2024-01-03 20:50:29,-3.28,140.37097,27.9,3.57,Lemah
2024-01-03 22:44:18,4.73,127.22176,13.4,4.35,Sedang
2024-01-03 22:44:29,-7.15,105.56651,14.4,3.07,Lemah
2024-01-03 23:10:01,4.93,95.95961,10.0,2.94,Lemah
2024-01-03 23:22:32,-0.7,122.09012,10.7,2.8,Lemah
2024-01-04 00:02:42,-0.25,125.60831,17.4,4.58,Sedang
2024-01-04 00:43:16,-7.03,129.94225,133.6,5.17,Sedang
2024-01-04 01:08:10,0.31,122.0956,182.5,3.0,Lemah
2024-01-04 01:40:05,-1.91,136.00749,10.0,4.14,Sedang
2024-01-04 01:43:52,-7.87,114.34826,10.0,3.62,Lemah
2024-01-04 02:00:11,1.54,128.67816,10.0,4.48,Sedang
2024-01-04 02:59:03,-2.84,139.87175,24.4,3.98,Lemah
2024-01-04 03:17:23,-7.99,118.66617,60.6,2.61,Lemah
2024-01-04 03:17:23,-7.99,118.66617,60.6,2.54,Lemah
2024-01-04 04:26:20,-0.18,125.57005,22.4,3.79,Lemah
2024-01-04 04:46:39,-2.64,140.6458,56.3,2.8,Lemah
2024-01-04 06:15:27,-7.69,127.84222,141.4,4.52,Sedang
2024-01-04 06:25:11,-9.42,118.19524,46.9,3.61,Lemah
2024-01-04 06:54:57,-8.11,107.86931,37.4,3.52,Lemah
2024-01-04 08:41:51,-6.81,107.94569,14.7,2.37,Lemah
